site,feature,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
qingdao,u100,140256,0.3892,3.6474,-18.8853,-1.9899,0.3829,2.7830,16.8549,-0.0379,0.3760
qingdao,v100,140256,0.5103,5.4503,-18.5496,-3.7796,0.7630,4.7920,17.2052,-0.0967,-0.7585
qingdao,u10,140256,0.2000,2.6307,-13.8375,-1.5377,0.1775,1.9224,12.8065,0.0357,0.4803
qingdao,v10,140256,0.2393,3.9083,-12.6223,-2.7864,0.5625,3.3173,11.8692,-0.2074,-0.7161
qingdao,fg10,140256,7.1734,3.0477,0.5480,4.8967,6.7494,9.0037,24.8244,0.7602,0.6167
qingdao,d2m,140256,281.3330,11.1188,252.4545,272.4886,281.6146,291.1943,301.3058,-0.1521,-1.0528
qingdao,t2m,140256,286.9093,9.5406,259.8860,278.7098,287.5776,295.3840,305.7723,-0.1718,-1.1202
qingdao,msl,140256,101704.3924,969.4805,98147.6900,100889.5000,101700.9400,102473.7050,104359.1900,0.0646,-0.8792
qingdao,sst,140256,288.0345,7.8428,275.1802,280.4116,287.9409,295.4412,302.5151,0.0638,-1.3923
qingdao,skt,140256,287.4111,9.0927,267.5472,279.3106,287.6747,295.5310,308.1586,-0.0449,-1.2159
qingdao,sp,140256,101221.6275,953.5051,97697.0500,100421.9100,101220.3750,101978.5860,103827.4400,0.0571,-0.8754
qingdao,ssrd,140256,658393.0057,928291.6919,-1.5970,0.0000,29504.0000,1218624.0000,3518336.0000,1.2385,0.2625
qingdao,strd,140256,1139500.1550,247158.7951,595922.2500,929608.5750,1134677.2500,1345041.0250,1661573.0000,0.0524,-1.1090
qingdao,tp,140256,0.0001,0.0005,0.0000,0.0000,0.0000,0.0000,0.0343,16.3640,480.1579
dubai,u100,140256,0.8977,4.2017,-14.8484,-1.7929,1.0096,3.7534,17.4635,-0.1012,-0.0814
dubai,v100,140256,-0.6567,3.0383,-13.6148,-2.7071,-0.8163,1.2083,18.5325,0.4696,0.9108
dubai,u10,140256,0.7797,3.2518,-10.8297,-1.4643,0.6926,3.0138,14.4788,0.0678,-0.1298
dubai,v10,140256,-0.4532,2.4959,-10.9826,-2.1820,-0.4639,1.2799,14.5445,0.1697,0.2511
dubai,fg10,140256,6.3435,2.8091,0.6909,4.1342,6.0383,8.2491,22.0280,0.5903,0.1671
dubai,d2m,140256,292.2235,5.4838,269.0983,288.1327,292.1540,296.8032,304.2168,-0.1617,-0.7034
dubai,t2m,140256,301.7063,6.1978,284.8610,296.5542,302.1128,306.5928,317.0458,-0.0729,-0.9170
dubai,msl,140256,100829.5443,789.7915,98853.0600,100130.7950,100940.5300,101503.8913,102804.1900,-0.2391,-1.1159
dubai,sst,0,,,,,,,,,
dubai,skt,140256,304.3101,9.3508,284.3771,297.0417,303.4755,309.9600,329.7832,0.4361,-0.5221
dubai,sp,140256,100544.5241,785.0794,98577.8600,99850.1475,100655.4150,101214.6625,102509.2000,-0.2406,-1.1141
dubai,ssrd,140256,895810.9235,1163933.6851,-1.9016,0.0000,40224.0000,1878928.0000,3765440.0000,0.9034,-0.7383
dubai,strd,140256,1365176.8509,145866.0807,954503.0000,1249163.3250,1364104.3000,1471667.0000,1821915.4000,0.1425,-0.6721
dubai,tp,140256,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0141,48.9566,3302.5720
singapore,u100,140256,-0.6575,2.4555,-8.8787,-2.4373,-1.0185,0.8044,11.5572,0.7299,0.6004
singapore,v100,140256,-0.2670,3.6883,-12.5992,-3.2983,0.0603,2.7428,10.4315,-0.1677,-0.9315
singapore,u10,140256,-0.5851,2.2290,-7.9525,-2.2089,-0.9181,0.7578,10.1586,0.7028,0.4521
singapore,v10,140256,-0.1782,3.3122,-10.1758,-2.9613,0.0527,2.5685,9.0716,-0.1205,-1.0020
singapore,fg10,140256,6.0281,1.9090,1.2103,4.6393,5.9318,7.3173,15.5613,0.3178,-0.0307
singapore,d2m,140256,297.0253,0.7335,291.3346,296.6433,297.0664,297.4893,299.7620,-0.8165,2.3666
singapore,t2m,140256,300.4674,1.0530,296.8052,299.6767,300.4908,301.2665,304.0229,-0.0674,-0.6322
singapore,msl,140256,100987.6481,182.5409,100305.5600,100863.8750,100989.7500,101112.6900,101753.3100,-0.0414,-0.0797
singapore,sst,140256,302.4526,0.8567,299.2766,301.9704,302.5906,303.0520,304.7495,-0.5926,-0.0046
singapore,skt,140256,302.2675,0.8660,299.0267,301.7944,302.3692,302.8432,305.6645,-0.4395,0.1172
singapore,sp,140256,100894.1334,182.3199,100213.3300,100770.5160,100896.2100,101018.9700,101658.5300,-0.0414,-0.0799
singapore,ssrd,140256,745127.5751,1001377.0770,-1.5970,0.0000,17312.0000,1485056.0000,3792448.0000,1.0439,-0.3526
singapore,strd,140256,1530525.3120,32260.5876,1294071.5000,1513245.6750,1533576.1500,1551993.5750,1636159.0000,-0.8757,2.0525
singapore,tp,140256,0.0003,0.0007,0.0000,0.0000,0.0000,0.0003,0.0264,8.2167,162.2499
miami,u100,140256,-1.9538,3.6271,-26.5302,-4.4673,-2.0303,0.3891,15.6890,0.1964,0.4188
miami,v100,140256,0.2888,3.7275,-15.9078,-2.0739,0.5826,2.7937,31.0160,-0.1732,0.3935
miami,u10,140256,-1.5160,2.7908,-19.0997,-3.4313,-1.5923,0.3634,12.0893,0.1619,0.3296
miami,v10,140256,0.2014,2.8649,-11.7105,-1.6223,0.4091,2.1576,22.0016,-0.1937,0.3097
miami,fg10,140256,7.2592,2.9435,0.9999,5.0755,6.9343,9.0801,39.9514,0.7917,1.8519
miami,d2m,140256,293.3380,4.5070,265.8304,291.2093,294.6000,296.7776,300.0185,-1.4405,2.3121
miami,t2m,140256,298.2122,3.5861,276.5636,296.3888,298.8312,300.6735,306.8693,-1.1420,2.0325
miami,msl,140256,101701.4482,355.3123,98928.8750,101483.0000,101700.9400,101922.8750,103282.4400,-0.2216,1.2990
miami,sst,140256,300.3594,2.2032,295.1765,298.4643,300.2683,302.4064,304.8833,-0.0423,-1.2064
miami,skt,140256,299.0943,3.7045,284.0010,296.5505,299.4513,301.3386,312.3195,-0.1824,0.0170
miami,sp,140256,101649.0834,355.0048,98878.5000,101430.8712,101648.5800,101870.4200,103228.5900,-0.2229,1.3007
miami,ssrd,140256,753316.2491,1007532.9615,-1.9016,0.0000,36352.0000,1504656.0000,3790656.0000,1.0427,-0.3224
miami,strd,140256,1414608.7102,120344.7468,840762.1000,1353194.4500,1442000.3500,1502725.2250,1654332.5000,-1.1690,1.4442
miami,tp,140256,0.0001,0.0005,0.0000,0.0000,0.0000,0.0001,0.0161,8.3977,103.0287
